"","title","url","imdbRating","ratingCount","duration","year","type","nrOfWins","nrOfNominations","nrOfPhotos","nrOfNewsArticles","nrOfUserReviews","nrOfGenre","Action","Adult","Adventure","Animation","Biography","Comedy","Crime","Documentary","Drama","Family","Fantasy","FilmNoir","GameShow","History","Horror","Music","Musical","Mystery","News","RealityTV","Romance","SciFi","Short","Sport","TalkShow","Thriller","War","Western","Recommendation"
"3990","Hostage - Entführt","http://www.imdb.com/title/tt0340163/",6.6,"81436","6780",2005,"video.movie","0","0","25","64",276,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Average"
"3992","Ônibus 174","http://www.imdb.com/title/tt0340468/",7.9,"5420","9000",2002,"video.movie","11","5","9","5",49,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Good"
"3993","Helena von Troja","http://www.imdb.com/title/tt0340477/",6.4,"4727","10500",2003,"video.movie","1","4","4","4",168,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Average"
"3994","Puerto Vallarta Squeeze","http://www.imdb.com/title/tt0340919/",5.6,"775","7020",2004,"video.movie","0","0","9","0",15,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Average"
"3995","Hae anseon","http://www.imdb.com/title/tt0341384/",6.6,"2380","5460",2002,"video.movie","3","1","2","0",11,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Average"
"3996","Unleashed - Entfesselt","http://www.imdb.com/title/tt0342258/",7,"72374","6180",2005,"video.movie","0","0","41","109",295,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Good"
"3997","A Decade Under the Influence","http://www.imdb.com/title/tt0342275/",7.6,"1915","8280",2003,"video.movie","1","1","4","6",19,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Good"
"3998","Detective Fiction","http://www.imdb.com/title/tt0342285/",6.3,"77","6120",2003,"video.movie","1","0","18","5",5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Average"
"3999","Dänische Delikatessen - Darf's ein bisschen mehr sein?","http://www.imdb.com/title/tt0342492/",7.3,"10147","6000",2003,"video.movie","7","8","10","0",30,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Good"
"4000","Taxi für eine Leiche","http://www.imdb.com/title/tt0343068/",6.5,"56","4980",2002,"video.movie","1","1","0","0",0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Average"
"4003","Edith Head: The Paramount Years","http://www.imdb.com/title/tt0343621/",6.1,"87","840",2002,"video.movie","0","0","0","0",5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Average"
"4004","Forever Ealing","http://www.imdb.com/title/tt0343675/",6.9,"115","3000",2002,"video.movie","0","0","0","0",3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Average"
"4005","Der gute Hirte","http://www.imdb.com/title/tt0343737/",6.7,"78265","10020",2006,"video.movie","3","6","93","277",471,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Average"
"4006","The Making of 'Cape Fear'","http://www.imdb.com/title/tt0344021/",6,"138","4800",2001,"video.movie","0","0","0","0",4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Average"
"4009","Arthur und die Minimoys","http://www.imdb.com/title/tt0344854/",6,"20679","5640",2006,"video.movie","1","2","19","55",62,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Average"
"4011","Code 46","http://www.imdb.com/title/tt0345061/",6.3,"16214","5580",2003,"video.movie","4","10","28","38",146,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"Average"
"4012","Leben nach dem Tod in Bangkok","http://www.imdb.com/title/tt0345549/",7.7,"8716","6720",2003,"video.movie","7","5","7","15",45,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Good"
"4013","Latter Days","http://www.imdb.com/title/tt0345551/",7.3,"12041","6420",2003,"video.movie","3","0","15","31",246,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Good"
"4014","Der SpongeBob Schwammkopf Film","http://www.imdb.com/title/tt0345950/",6.9,"41116","5220",2004,"video.movie","1","9","27","42",167,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Average"
"4015","Sky Captain and the World of Tomorrow","http://www.imdb.com/title/tt0346156/",6.1,"64696","6360",2004,"video.movie","3","11","69","124",604,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Average"
"4018","The Rising - Aufstand der Helden","http://www.imdb.com/title/tt0346457/",6.7,"4929","9000",2005,"video.movie","1","2","9","4",80,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Average"
"4022","Alexander","http://www.imdb.com/title/tt0346491/",5.5,"115381","10500",2004,"video.movie","2","9","149","833",1375,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Average"
"4024","Anden live i Cirkusbygningen - Hva' snakker du om?","http://www.imdb.com/title/tt0346508/",7.7,"248","7140",2001,"video.movie","0","0","0","0",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Good"
"4025","Chalte Chalte - Wohin das Schicksal uns führt","http://www.imdb.com/title/tt0346723/",6.7,"7694","10020",2003,"video.movie","0","0","2","40",28,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Average"
"4026","Ghost in the Shell 2 - Innocence","http://www.imdb.com/title/tt0347246/",7.6,"20332","6000",2004,"video.movie","2","7","38","28",95,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Good"
"4027","Indian Love Story - Kal Ho Naa Ho","http://www.imdb.com/title/tt0347304/",8,"21574","11160",2003,"video.movie","32","39","4","136",102,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Excellent"
"4028","Khakee - Das tödliche Gesetz Indiens","http://www.imdb.com/title/tt0347332/",7.4,"5344","10440",2004,"video.movie","0","0","2","65",32,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Good"
"4030","Suchîmubôi","http://www.imdb.com/title/tt0348121/",6.9,"11274","7560",2004,"video.movie","1","0","16","0",77,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Average"
"4031","The Door in the Floor - Tür der Versuchung","http://www.imdb.com/title/tt0348593/",6.8,"12180","6660",2004,"video.movie","3","4","32","120",128,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Average"
"4032","Gothika","http://www.imdb.com/title/tt0348836/",5.8,"74931","5880",2003,"video.movie","2","7","86","160",369,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"Average"
"4034","King Arthur","http://www.imdb.com/title/tt0349683/",6.3,"107635","7560",2004,"video.movie","4","7","65","1089",872,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Average"
"4035","Miracle - Das Wunder von Lake Placid","http://www.imdb.com/title/tt0349825/",7.5,"29741","8100",2004,"video.movie","1","2","62","197",280,3,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Good"
"4037","Netaji Subhas Chandra Bose: The Forgotten Hero","http://www.imdb.com/title/tt0349878/",7.3,"430","12480",2005,"video.movie","1","0","0","0",6,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Good"
"4038","Eine Liebe auf Umwegen","http://www.imdb.com/title/tt0350028/",5.9,"25662","7140",2004,"video.movie","0","0","88","51",101,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Average"
"4039","Celluloid Crime of the Century","http://www.imdb.com/title/tt0350695/",7.3,"40","2400",2003,"video.movie","0","0","0","0",5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Good"
"4041","De-Lovely - Die Cole Porter Story","http://www.imdb.com/title/tt0352277/",6.6,"8804","7500",2004,"video.movie","1","8","93","21",221,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Average"
"4042","Das Fenster gegenüber","http://www.imdb.com/title/tt0352343/",7.4,"7744","6360",2003,"video.movie","21","16","8","5",48,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Good"
